C000001	AA_DNA_MUTATION_SIGNATURE
C000078	AJCC_STAGING_EDITION
C000079	AJCC_TUMOR_CLINICAL_CT
C000080	AJCC_TUMOR_PATHOLOGIC_PT
C000081	AKT1_E17K_MUTATION_STATUS
C000082	AKT1_MUTATION
C000083	ALB_G_DL
C000084	ALCOHOL
C000085	ALCOHOL_CONSUMPTION_FREQUENCY
C000086	ALCOHOL_EXPOSURE_INTENSITY
C000087	ALCOHOL_HISTORY_DOCUMENTED
C000088	ALC_COUNT
C000089	ALIAS
C000090	ALK_ANALYSIS_TYPE
C000091	ALK_TRANSLOCATION_STATUS
C000092	ALK_TRANSLOCATION_VARIANT
C000093	ALLELE_FREQUENCY_CELLULARITY
C000094	ALLERGIES
C000095	ALPHA_FETOPROTIEN_AT_PROCUREMENT
C000096	ALPHA_FETOPROTIEN_NORMAL_RANGE_LOWER
C000097	ALPHA_FETOPROTIEN_NORMAL_RANGE_UPPER
C000098	ALP_U_L
C000099	ALTERATIONS
C000100	ALTERNATE_THERAPY
C000101	ALTERNATE_THERAPY_OTHER
C000102	ALT_COUNT
C000103	ALT_FREQUENCY
C000104	AML_DIAGNOSIS
C000105	AML_IN_SKIN_PERCENTAGE
C000106	AMOUNT
C000107	AMPLIFICATION_1P
C000108	AMPLIFICATION_1Q
C000109	AMPLIFICATION_STATUS
C000110	AMP_12Q15_CDK4
C000111	AMP_12Q15_DDIT3
C000112	AMP_12Q15_FRS2
C000113	AMP_12Q15_HMGA2
C000114	AMP_12Q15_MDM2
C000115	AMP_FEATURE
C000116	ANALYSIS_COHORT
C000117	ANALYSIS_COHORT_CA
C000118	ANALYSIS_COHORT_HA
C000119	ANALYSIS_ID
C000120	ANALYSIS_TYPE
C000121	ANAPLASTIC_PERCENTAGE
C000122	ANATOMICAL_SUBTYPE
C000123	ANATOMIC_REGION
C000124	ANC_COUNT
C000125	ANDROGEN_DEPRIVATION_THERAPY
C000126	ANEUPLOIDY_SCORE
C000127	ANGIOLYMPHATIC_INVASION
C000128	ANIMAL_INSECT_ALLERGY_AGE
C000129	ANIMAL_INSECT_ALLERGY_HIST
C000130	ANIMAL_INSECT_ALLERGY_TYPES
C000131	ANTIREFLUX_TREATMENT
C000132	ANTIREFLUX_TREATMENT_TYPE
C000133	ANTIRETROVIRAL_THERAPY_AT_DIAGNOSIS
C000134	ANTI_O_VIVERRINI_IGG
C000135	ANY_THERAPY_2YRS
C000136	ANY_THERAPY_XRC_RESPONSE
C000137	APC_INTRON
C000138	ARCHER
C000139	ARHGAP26_ARHGAP6_CLDN18_REARRANGEMENT
C000140	ARHGAP35_MUTATION_STATUS
C000141	ARID1A_MUTATION
C000142	ARID1A_PROTEIN_CODING
C000143	ARID5B_MUTATION_STATUS
C000144	ARMDRIVER_CN
C000145	ARM_SCNA_CLUSTER
C000146	ARNT_SOMATIC
C000147	AR_EXPRESSION
C000148	AR_HIGH
C000149	AR_MRNA
C000150	AR_PROTEIN
C000151	AR_SCORE
C000152	AR_STATUS
C000153	AR_V7_PRESENCE
C000154	AR_V7_RATIO
C000155	AR_V7_READS
C000156	AR_VALUE
C000157	ASBESTOS_EXPOSURE_AGE
C000158	ASBESTOS_EXPOSURE_AGE_LAST
C000159	ASBESTOS_EXPOSURE_SOURCE
C000160	ASBESTOS_EXPOSURE_TYPE
C000161	ASBESTOS_EXPOSURE_YEARS
C000162	ASG_5ME
C000163	ASSOCIATED_ADENOMA
C000164	ASSOCIATED_BORDERLINE_OVARIAN_TUMOR
C000165	ASSOCIATED_GENETIC_METABOLIC_DISEASE
C000166	ASTHMA_ECZEMA_ALLERGY_FIRST_DIAGNOSIS
C000167	ASTHMA_HISTORY
C000168	ASYMPTOMATIC_WEEKS
C000169	ATM_MUT
C000170	ATM_MUTATION_STATUS
C000171	ATRA_EXPOSURE
C000172	ATRX_DELETION
C000173	ATRX_SOMATIC
C000174	ATRX_STATUS
C000175	ATR_MUTATION_STATUS
C000176	ATYPICAL_MITOTIC_FIGURES
C000177	AT_PROCUREMENT_PROTHROMBIN_TIME_INR
C000178	AURKA_FISH
C000179	AVERAGE_SAMPLE_ALLELE_FREQUENCY
C000180	AVE_DNA_PURITY
C000181	AVE_PLOIDY
C000182	AVE_RNA_PURITY
C000183	AVG_CN_12Q13_15
C000184	A_C
C000185	A_G
C000186	A_T
C000187	BAIT_VERSION
C000188	BAP1_LOSS
C000189	BARRETTS_ESOPHAGUS
C000190	BASELINE_BIOPSY_SITE
C000191	BASELINE_CNS_DISEASE
C000192	BASELINE_EXTRAMEDULLARY_DISEASE
C000193	BASOPHILS_COUNT
C000194	BATCH_NUMBER
C000195	BCFI_MONTHS
C000196	BCFI_STATUS
C000197	BCL2_BA
C000198	BCL2_REAR
C000199	BCL6_BA
C000200	BCL6_REAR
C000201	BCL6_STATUS
C000202	BCLC_STAGE
C000203	BCR_ABL1_STATUS
C000204	BCR_ABL_P190_NEGATIVE
C000205	BCR_ABL_P190_POSITIVE
C000206	BCR_ABL_P210_NEGATIVE
C000207	BCR_ABL_P210_POSITIVE
C000208	BCR_FOLLOWUP_BARCODE
C000209	BCR_FOLLOWUP_UUID
C000210	BCR_FREE_MONTHS
C000211	BCR_PATIENT_BARCODE
C000212	BCR_PATIENT_UUID
C000213	BCR_SAMPLE_UUID
C000214	BCR_STATUS
C000215	BCR_TREATMENT_BARCODE
C000216	BEST_ORR
C000217	BEST_RANO_RESPONSE
C000218	BEST_RESPONSE_TO_ALKYLATING_AGENT
C000219	BEST_RESPONSE_TO_EVEROLIMUS
C000220	BEST_RESPONSE_TO_PLATINUM
C000221	BEST_RESPONSE_TO_SUNITINIB
C000222	BEST_RESPONSE_TO_THERAPY
C000223	BETA_HCG_LEVELS
C000224	BIC_FILE_SAMPLE_ID
C000225	BIC_PATIENT_ID
C000226	BILATERAL
C000227	BILATERAL_DIAGNOSIS_TIMING_TYPE
C000228	BILIRUBIN_TOTAL
C000229	BILIRUBIN_TOTAL_NORMAL_RANGE_LOWER
C000230	BILIRUBIN_TOTAL_NORMAL_RANGE_UPPER
C000231	BILIRUBIN_TOTAL_NORM_RANGE_LOWER
C000232	BILIRUBIN_TOTAL_NORM_RANGE_UPPER
C000233	BIND
C000234	BIOCHEMICAL_RECURRENCE_INDICATOR
C000235	BIOCHEMICAL_TESTING
C000236	BIOPSY_AT_PROGRESSION
C000237	BIOPSY_FROM_IRRADIATED_SITE
C000238	BIOPSY_GLEASON_SCORE
C000239	BIOPSY_GLEASON_SCORE_1
C000240	BIOPSY_GLEASON_SCORE_2
C000241	BIOPSY_OBTAINED
C000242	BIOPSY_PRE_OR_POST_IPI
C000243	BIOPSY_PROCEDURE
C000244	BIOPSY_TIME
C000245	BIRTH_COUNTRY
C000246	BIRTH_YEAR
C000247	BKM120_DOSAGE
C000248	BLADDER_GROUP_GRADE
C000249	BLADDER_GROUP_METASTASIS_STAGE
C000250	BLADDER_GROUP_NODE_STAGE
C000251	BLADDER_GROUP_STAGE
C000252	BLADDER_MIBC_CHEMO_TYPE
C000253	BLADDER_MIBC_NO_CHEMO_PROGRESSIVE
C000254	BLADDER_MIBC_NO_CHEMO_PROGRESSIVEPRIOR_BCG
C000255	BLADDER_MIBC_OR_NON_MIBC
C000256	BLADDER_MIBC_PRIOR_INTRAVESICAL_CHEMOTHERAPY
C000257	BLADDER_MIBC_PROGRESSIVE
C000258	BLADDER_MIBC_SPECIMEN_CHEMOTHERAPY_STATUS
C000259	BLADDER_NECK_INVASION
C000260	BLADDER_NMIBC_ADJUVANT_BCG
C000261	BLADDER_NMIBC_ADJUVANT_MITOMYCIN
C000262	BLADDER_NMIBC_CIS
C000263	BLADDER_NMIBC_CYSTO_FUPTIME
C000264	BLADDER_NMIBC_ESTIMATED_TUMOR_SIZE
C000265	BLADDER_NMIBC_GROUP
C000266	BLADDER_NMIBC_HIGH_GRADE_NED_AT_24_MONTHS
C000267	BLADDER_NMIBC_HIGH_GRADE_RECURRENCE
C000268	BLADDER_NMIBC_HIGH_GRADE_RECURR_TIME
C000269	BLADDER_NMIBC_NED_AT_24_MONTHS
C000270	BLADDER_NMIBC_RECURRENCE
C000271	BLADDER_NMIBC_TCGA_SMOKING_CATEGORY
C000272	BLADDER_NMIBC_TIME_TO_RECURRENCE
C000273	BLADDER_NMIBC_TUMOR_NUMBER
C000274	BLAST_COUNT
C000275	BLAST_PERCENT_CBC
C000276	BLEEDING_WEEKS
C000277	BLOCK
C000278	BLOCK_ACCESSION
C000279	BLOCK_ID
C000280	BLOOD_COLLECTION
C000281	BMI
C000282	BMI_CATEGORY
C000283	BM_BLAST_PERCENTAGE
C000284	BM_DAY_15
C000285	BM_DAY_29
C000286	BM_DAY_43
C000287	BM_DAY_8
C000288	BONE_MARROW_BIOPSY_PERFORMED
C000289	BONE_MARROW_INVOLVEMENT
C000290	BONE_MARROW_LEUKEMIC_BLAST_PERCENTAGE
C000291	BONE_MARROW_SAMPLE_HISTOLOGY
C000292	BONE_MARROW_SITE_OF_RELAPSE
C000293	BONE_SCAN_RESULT
C000294	BORBORYGMI_WEEKS
C000295	BORR
C000296	BORRMANN_CLASSIFICATION
C000297	BOWEL_HABITS_CHANGE_WEEKS
C000298	BRAC2_GERMLINE
C000299	BRACHYTHERAPY_TOTAL_DOSE_POINT_A
C000300	BRACHYTHERAPY_TYPE
C000301	BRACHYTHERAPY_TYPE_OTHER
C000302	BRAFV600E_RAF_CLASS
C000303	BRAFV600E_RAF_SCORE
C000304	BRAFV600E_RAS
C000305	BRAF_FUSION
C000306	BRAF_GENE_ANALYSIS_INDICATOR
C000307	BRAF_GENE_ANALYSIS_RESULT
C000308	BRAF_KIAA1549_FUSION
C000309	BRAF_MUTATION
C000310	BRAF_SOMATIC
C000311	BRAF_STATUS
C000312	BRAF_V600E_STATUS
C000313	BRAF_V600_LEVEL1
C000314	BRAIN_METS
C000315	BRCA1_CNA
C000316	BRCA1_GERMLINE
C000317	BRCA1_GERMLINE_MUT
C000318	BRCA1_HOMDEL
C000319	BRCA1_MUTATION
C000320	BRCA1_RESULT
C000321	BRCA2_CNA
C000322	BRCA2_GERMLINE_MUT
C000323	BRCA2_HOMDEL
C000324	BRCA2_MUTATION
C000325	BRCA2_RESULT
C000326	BRCA_GERMLINE_MUTATIONS
C000327	BRCA_TYPE
C000328	BRCA_VARIANT
C000329	BRC_RECEPTOR_SUBTYPE
C000330	BREAST_CANCER_RECEPTOR_STATUS
C000331	BREAST_CANCER_RECEPTOR_STATUS_DETAILED
C000332	BREAST_CANCER_RECEPTOR_STATUS_FINAL
C000333	BREAST_CANCER_RECEPTOR_STATUS_PRIMARY
C000334	BREAST_SURGERY
C000335	BRESLOW_DEPTH
C000336	BRONCHOSCOPY
C000337	BUBBLE_GROUP
C000338	BXCEP17_COPY
C000339	BXHER2_COPY
C000340	BXHER2_RATIO
C000341	BX_DCIS
C000342	BX_EPITHELIOID
C000343	BX_ER
C000344	BX_GRADE
C000345	BX_HER2FISH
C000346	BX_HER2IHC
C000347	BX_HER2OVERALL
C000348	BX_HISTOLOGY
C000349	BX_KI67
C000350	BX_LCIS
C000351	BX_LOCATION
C000352	BX_NOTES
C000353	BX_NUCLEAR_GRADE
C000354	BX_PERCENT_ER
C000355	BX_PERCENT_PR
C000356	BX_PR
C000357	BX_SIDEDNESS_BREAST
C000358	BX_SPINDLE_CELL
C000359	BX_TIME_DAYS
C000360	BX_TYPE
C000361	BX_VASOFORMATIVE
C000362	B_CELLS_MEMORY
C000363	B_CELLS_NAIVE
C000364	B_CELL_GENOTYPE_METHOD
C000365	CABAZI
C000366	CAISIS_AGE
C000367	CAISIS_AGENT
C000368	CAISIS_DFS_MONTHS
C000369	CAISIS_DFS_STATUS
C000370	CAISIS_DIAGNOSTIC_DATE
C000371	CAISIS_DIAGNOSTIC_NOTES
C000372	CAISIS_DIAGNOSTIC_TARGET
C000373	CAISIS_EVENT_TYPE
C000374	CAISIS_GENDER
C000375	CAISIS_MGMT_STATUS
C000376	CAISIS_NOTE
C000377	CAISIS_OS_MONTHS
C000378	CAISIS_OS_STATUS
C000379	CAISIS_RESULT
C000380	CAISIS_SAMPLE_HISTOLOGY
C000381	CAISIS_START_DATE
C000382	CAISIS_STATUS
C000383	CAISIS_STOP_DATE
C000384	CAISIS_SUBTYPE
C000385	CAISIS_TREATMENT_TYPE
C000386	CAISIS_WHO_GRADE
C000387	CALC_AGE_DX
C000388	CALC_DIFF_PRIMARY_DX_METS_DX_MONTHS
C000389	CALC_MET_SETTING
C000390	CALC_TIME_TO_METS_DX_DAYS
C000391	CALC_TIME_TO_METS_DX_MONTHS
C000392	CALC_TREATMENT_NAIVE
C000393	CAM_5_2
C000394	CANCER_DNA_FRACTION
C000395	CANCER_PROCUREMENT_STATE_PROVINCE
C000396	CANCER_TYPE
C000397	CANCER_TYPE_ACRONYM
C000398	CANCER_TYPE_DETAILED
C000399	CAPSULAR_INVASION
C000400	CAPTURE_BAIT_SET
C000401	CARBO
C000402	CARBON_MONOXIDE_DIFFUSION_DLCO
C000403	CATEGORY_SAMPLE
C000404	CAUSE_OF_DEATH_OTHER
C000405	CAUSE_OF_DEATH_SOURCE
C000406	CA_125
C000407	CA_19_9
C000408	CBEST_B_MEM
C000409	CBEST_B_NAIVE
C000410	CBEST_DENDRITIC_ACT
C000411	CBEST_DENDRITIC_REST
C000412	CBEST_EOSINOPHILS
C000413	CBEST_MACRO_M0
C000414	CBEST_MACRO_M1
C000415	CBEST_MACRO_M2
C000416	CBEST_MAST_ACT
C000417	CBEST_MAST_REST
C000418	CBEST_MONO
C000419	CBEST_NEUTROPHILS
C000420	CBEST_NK_ACT
C000421	CBEST_NK_REST
C000422	CBEST_PLASMA
C000423	CBEST_T_CD4_MEM_ACT
C000424	CBEST_T_CD4_MEM_REST
C000425	CBEST_T_CD4_NAIVE
C000426	CBEST_T_CD8
C000427	CBEST_T_FOLLI_HEL
C000428	CBEST_T_G_D
C000429	CBEST_T_REG
C000430	CBFT2A3_GLIS
C000431	CBIOPORTAL_UPLOAD_DATE
C000432	CBIO_PROJECT_NAME
C000433	CC_TT
C000434	CD10_STATUS
C000435	CD14_NEG_CD16_NEG_OUTOF_CD45POS
C000436	CD14_POS_CD16_POS_OUTOF_CD45POS
C000437	CD15_POS_CD16_POS_OUTOF_CD45POS
C000438	CD19_PERCENTAGE
C000439	CD19_POS_OUTOF_CD45POS
C000440	CD33_PERCENTAGE
C000441	CD38_PERCENTAGE
C000442	CD3_NEG_CD56_POS_CD16_NEG_OUTOF_CD45POS
C000443	CD3_NEG_CD56_POS_CD16_POS_OUTOF_CD45POS
C000444	CD3_POS_OUTOF_CD45POS
C000445	CD3_POS_WTT
C000446	CD45_NEGATIVE
C000447	CD45_POS_WTT
C000448	CD4_COUNTS_AT_DIAGNOSIS
C000449	CD56_POSITIVE
C000450	CD5_PERCENTAGE
C000451	CDC_HIV_RISK_GROUP
C000452	CDH1_STATUS
C000453	CDK12_CNA
C000454	CDK12_MUT
C000455	CDKN1B_CNA
C000456	CDKN1B_MUT
C000457	CDKN2A_DEL
C000458	CDKN2A_MET
C000459	CDKN2A_MUTATION
C000460	CDKN2A_SILENCING
C000461	CEA
C000462	CEA_RESULTS
C000463	CEBPA_MUTATION
C000464	CEBPA_NEGATIVE
C000465	CEBPA_POSITIVE
C000466	CELLULARITY
C000467	CELL_DIFFERENTIATION
C000468	CELL_LINE_INFORMATION
C000469	CELL_LINE_ORIGIN
C000470	CELL_LINE_SOURCE
C000471	CELL_NUM_PER_VIAL
C000472	CELL_OF_ORIGIN
C000473	CELL_TYPE
C000474	CENSORED
C000475	CENT17_COPY_NUMBER
C000476	CENTER
C000477	CENTRAL
C000478	CENTRAL_SCAR_FIBROSIS
C000479	CERVIX_SUV_RESULTS
C000480	CFDNA_INPUT_NG
C000481	CFDNA_PDX
C000482	CGA_IHC
C000483	CGH
C000484	CGH_ID
C000485	CGH_SAMPLE_ID
C000486	CG_1P
C000487	CHD1_CNA
C000488	CHD1_MUTATION
C000489	CHD4_MUTATION_STATUS
C000490	CHEMOTHERAPY
C000491	CHEMOTHERAPY_DETAILS
C000492	CHEMOTHERAPY_FIRST_LINE_PLATINUM_ETOPOSIDE
C000493	CHEMOTHERAPY_PRIOR_IMPACT
C000494	CHEMOTHERAPY_RESPONSE
C000495	CHEMO_CONCURRENT_COURSE
C000496	CHEMO_CONCURRENT_DOSE
C000497	CHEMO_CONCURRENT_FRACTIONS_TOTAL
C000498	CHEMO_CONCURRENT_REASON_NOT_GIVEN
C000499	CHEMO_CONCURRENT_REASON_NOT_OTHER
C000500	CHEMO_CONCURRENT_TYPE
C000501	CHEMO_CONCURRENT_TYPE_OTHER
C000502	CHEMO_CYCLES
C000503	CHEMO_DETAILS
C000504	CHEMO_END_REPORTING_PERIOD
C000505	CHEMO_EXPOSURE
C000506	CHEMO_EXP_SEQ_SPECIMEN
C000507	CHEMO_FIRST_LINE
C000508	CHEMO_FOURTH_LINE
C000509	CHEMO_PRE_PUMP
C000510	CHEMO_PRIOR_IMPACT
C000511	CHEMO_RECOMMENDED
C000512	CHEMO_REGIMEN_CATEGORY
C000513	CHEMO_RESISTANT
C000514	CHEMO_SECOND_LINE
C000515	CHEMO_SETTING_METASTATIC
C000516	CHEMO_THIRD_LINE
C000517	CHEST_PAIN_WEEKS
C000518	CHEST_XRAY
C000519	CHILD_PUGH_CLASSIFICATION
C000520	CHLOROMA
C000521	CHLOROMA_RELAPSE_SITE
C000522	CHR12_WCD
C000523	CHR18_WCD
C000524	CHR20_WCD
C000525	CHR2_FISH
C000526	CHR3_FISH
C000527	CHR7_WCD
C000528	CHROMOTRYPSIS_V2
C000529	CHRONIC_HEPATITIS_ANY_TYPE
C000530	CHRONIC_INFLAMATION
C000531	CHR_19_20_CO_GAIN
C000532	CHR_7_GAIN_CHR_10_LOSS
C000533	CIBERSORT_ABSOLUTE
C000534	CIBERSORT_CORRELATION
C000535	CIBERSORT_P
C000536	CIBERSORT_RMSE
C000537	CIMP_CATEGORY
C000538	CIRRHOSIS
C000539	CIS
C000540	CISPLATIN
C000541	CIS_PERCENTAGE
C000542	CITY_OF_PROCUREMENT
C000543	CK18_STAIN
C000544	CK7_STAIN
C000545	CKD_EPI
C000546	CKIT_EXON_17_MUTATION
C000547	CKIT_EXON_8_MUTATION
C000548	CKIT_EXON_MUTATION
C000549	CKIT_MUTATION
C000550	CLARK_LEVEL_AT_DIAGNOSIS
C000551	CLAUDIN_SUBTYPE
C000552	CLG_ID
C000553	CLINICAL_ASSESSMENT
C000554	CLINICAL_ASSOCIATION
C000555	CLINICAL_BENEFIT_TARGET_THERAPY
C000556	CLINICAL_DATA
C000557	CLINICAL_DIAGNOSIS_AND_HISTORY
C000558	CLINICAL_GLEASON
C000559	CLINICAL_GLEASON_CATEGORY
C000560	CLINICAL_GLEASON_SUM
C000561	CLINICAL_SPECIMEN_DEFINITION
C000562	CLINICAL_STAGE
C000563	CLINICAL_STATE
C000564	CLINICAL_STATE_AT_IMPACT_ORDER_DATE
C000565	CLINICAL_STATUS_AT_DIAGNOSIS
C000566	CLINICAL_STATUS_WITHIN_3_MTHS_SURGERY
C000567	CLINICAL_TRIAL
C000568	CLINICAL_TRIAL_1L
C000569	CLINICAL_TRIAL_2L
C000570	CLINICAL_TRIAL_3L
C000571	CLINICAL_TRIAL_DETAILS
C000572	CLINICAL_TRIAL_MT_IT
C000573	CLINICAL_VARIANT
C000574	CLINICAL_VARIANT_DETAILS
C000575	CLIN_AI
C000576	CLIN_IBD
C000577	CLIN_M_STAGE
C000578	CLIN_N_STAGE
C000579	CLIN_N_STAGE_CODE
C000580	CLIN_PSC
C000581	CLIN_T_STAGE
C000582	CLIN_T_STAGE_CODE
C000583	CLONALITY
C000584	CLONAL_LABEL
C000585	CLONET_PURITY
C000586	CLONET_STATUS
C000587	CMO_PATIENT_ID
C000588	CNA_CLUSTER_K4
C000589	CNA_DATA
C000590	CNE
C000591	CNS_DISEASE
C000592	CNS_DISEASE_EVER
C000593	CNS_SITE_OF_RELAPSE
C000594	CNS_STATUS
C000595	CNS_THERAPY_AGENT
C000596	CN_CLUSTER
C000597	CN_DATA
C000598	CN_INVOLVEMENT
C000599	COCA_CLUSTER
C000600	COHORT
C000601	COLLAB_ID
C000602	COLLOID
C000603	COLONOSCOPY
C000604	COLON_POLYPS_PRESENT
C000605	COLUMNAR_METAPLASIA_GOBLET_CELL_INDICATOR
C000606	COMBO_INV_TRIAL
C000607	COMMENTS
C000608	COMMERCIAL_AVAILABILITY
C000609	COMPLETE_DATA
C000610	COMPLETE_TCGA_ID
C000611	COMPLETE_TURBT
C000612	COMPLEXITY
C000613	CONCOMITANT_CIS
C000614	CONCURRENT_CHEMO
C000615	CONCURRENT_CHEMO_DETAILS
C000616	CONCURRENT_TREATMENT
C000617	CONDITIONING_REGIMEN
C000618	CONFIRMED_DRAW
C000619	CONGENITAL_ABNORMALITY
C000620	CONSENSUS_CLUSTER
C000621	CONSOLIDATION
C000622	CONSTIPATION_WEEKS
C000623	CONTEMPORARY_PATIENTS
C000624	CONTIGUOUS_ORGAN_INVADED
C000625	CONTIGUOUS_ORGAN_RESECTION
C000626	CONTIGUOUS_ORGAN_RESECTION_OTHER
C000627	CONTROL_SITE
C000628	CONVERTED_STAGE
C000629	COPY_NUMBER
C000630	COPY_NUMBER_CLUSTER
C000631	COPY_NUMBER_CLUSTER_EC
C000632	COPY_NUMBER_CLUSTER_GEA
C000633	COPY_NUMBER_CLUSTER_GEA_CIN
C000634	COPY_NUMBER_CLUSTER_SCC
C000635	CORPUS_INVOLVEMENT
C000636	CORRELATION
C000637	COUGH_WEEKS
C000638	COUNTRY
C000639	COUNTRY_OF_PROCUREMENT
C000640	COVERAGE
C000641	COVERAGE_GREATER_THAN_100X
C000642	COVERAGE_NORMAL
C000643	COVERAGE_TUMOR
C000644	COVERED_BASES
C000645	CQCF_COUNTRY
C000646	CQCF_DAYS_TO_SAMPLE_PROCUREMENT
C000647	CQCF_METHOD_OF_SAMPLE_PROCUREMEN
C000648	CRDB_ADJ_TXT
C000649	CRDB_BASIC_COMMENTS
C000650	CRDB_BRAINMET
C000651	CRDB_COMMENTS
C000652	CRDB_CONSENT_DATE_DAYS
C000653	CRDB_ECOG
C000654	CRDB_ENROLL_DX_GRADE
C000655	CRDB_ENROLL_DX_GRADE_DSCRP
C000656	CRDB_ENROLL_DX_HIST
C000657	CRDB_ENROLL_DX_M_STAGE
C000658	CRDB_ENROLL_DX_M_STAGE_DSCRP
C000659	CRDB_ENROLL_DX_N_STAGE
C000660	CRDB_ENROLL_DX_N_STAGE_DSCRP
C000661	CRDB_ENROLL_DX_SITE
C000662	CRDB_ENROLL_DX_STAGE
C000663	CRDB_ENROLL_DX_STAGE_DSCRP
C000664	CRDB_ENROLL_DX_STAGING_DSCRP
C000665	CRDB_ENROLL_DX_STATUS
C000666	CRDB_ENROLL_DX_STATUS_DAYS
C000667	CRDB_ENROLL_DX_STATUS_ID
C000668	CRDB_ENROLL_DX_SUB_HIST
C000669	CRDB_ENROLL_DX_SUB_SITE
C000670	CRDB_ENROLL_DX_SUB_SUB_HIST
C000671	CRDB_ENROLL_DX_SUB_SUB_SITE
C000672	CRDB_ENROLL_DX_SUB_SUB_SUB_HIST
C000673	CRDB_ENROLL_DX_T_STAGE
C000674	CRDB_ENROLL_DX_T_STAGE_DSCRP
C000675	CRDB_FIRST_METASTASIS_DAYS
C000676	CRDB_INITIAL_DX_DAYS
C000677	CRDB_INITIAL_SX_DAYS
C000678	CRDB_INIT_DX_GRADE
C000679	CRDB_INIT_DX_GRADE_DSCRP
C000680	CRDB_INIT_DX_HIST
C000681	CRDB_INIT_DX_M_STAGE
C000682	CRDB_INIT_DX_M_STAGE_DSCRP
C000683	CRDB_INIT_DX_N_STAGE
C000684	CRDB_INIT_DX_N_STAGE_DSCRP
C000685	CRDB_INIT_DX_SITE
C000686	CRDB_INIT_DX_STAGE
C000687	CRDB_INIT_DX_STAGE_DSCRP
C000688	CRDB_INIT_DX_STAGING_DSCRP
C000689	CRDB_INIT_DX_STATUS
C000690	CRDB_INIT_DX_STATUS_DAYS
C000691	CRDB_INIT_DX_STATUS_ID
C000692	CRDB_INIT_DX_SUB_HIST
C000693	CRDB_INIT_DX_SUB_SITE
